,Actual Total Load [MW] - Sweden (SE),Actual Total Load [MW] - Denmark (DK),Actual Total Load [MW] - Norway (NO)
2017-04-04 04:00:00+00:00,14015,3040,13951
2017-04-04 05:00:00+00:00,14698,3294,14325
2017-04-04 06:00:00+00:00,16132,3891,15507
2017-04-04 07:00:00+00:00,17862,4324,16943
2017-04-04 08:00:00+00:00,18107,4506,17176
2017-04-04 09:00:00+00:00,18078,4531,16980
2017-04-04 10:00:00+00:00,18038,4576,16848
2017-04-04 11:00:00+00:00,17795,4506,16542
2017-04-04 12:00:00+00:00,17601,4365,16539
2017-04-04 13:00:00+00:00,17335,4385,16397
2017-04-04 14:00:00+00:00,16962,4230,16331
2017-04-04 15:00:00+00:00,16582,4084,16267
2017-04-04 16:00:00+00:00,16462,3985,16159
2017-04-04 17:00:00+00:00,16360,4223,16103
2017-04-04 18:00:00+00:00,16313,4150,16002
2017-04-04 19:00:00+00:00,16790,4032,16064
2017-04-04 20:00:00+00:00,17117,4040,16366
2017-04-04 21:00:00+00:00,16443,3836,16281
2017-04-04 22:00:00+00:00,15653,3516,15687
2017-04-04 23:00:00+00:00,14780,3158,14989
2017-04-05 00:00:00+00:00,14029,2931,14540
2017-04-05 01:00:00+00:00,13631,2828,14120
2017-04-05 02:00:00+00:00,13526,2772,13990
2017-04-05 03:00:00+00:00,13374,2776,13977
2017-04-05 04:00:00+00:00,13908,2826,14056
2017-04-05 05:00:00+00:00,14507,3072,14553
2017-04-05 06:00:00+00:00,16166,3701,15810
2017-04-05 07:00:00+00:00,17750,4243,17306
2017-04-05 08:00:00+00:00,18316,4440,17693
2017-04-05 09:00:00+00:00,18299,4405,17239
2017-04-05 10:00:00+00:00,18066,4416,16910
2017-04-05 11:00:00+00:00,17671,4324,16489
2017-04-05 12:00:00+00:00,17421,4201,16325
2017-04-05 13:00:00+00:00,17048,4182,16292
2017-04-05 14:00:00+00:00,16858,4074,16143
2017-04-05 15:00:00+00:00,16913,3893,15974
2017-04-05 16:00:00+00:00,17037,3912,15912
2017-04-05 17:00:00+00:00,16894,4247,15808
2017-04-05 18:00:00+00:00,17212,4089,15758
2017-04-05 19:00:00+00:00,17338,3937,15747
2017-04-05 20:00:00+00:00,17521,3882,16094
2017-04-05 21:00:00+00:00,16864,3849,16221
2017-04-05 22:00:00+00:00,15996,3535,15702
2017-04-05 23:00:00+00:00,15206,3245,15001
2017-04-06 00:00:00+00:00,14759,3067,14372
2017-04-06 01:00:00+00:00,14704,2909,14170
2017-04-06 02:00:00+00:00,14645,2842,14136
2017-04-06 03:00:00+00:00,14876,2876,14195
2017-04-06 04:00:00+00:00,15077,2997,14422
2017-04-06 05:00:00+00:00,15827,3296,14864
2017-04-06 06:00:00+00:00,17603,3838,16341
2017-04-06 07:00:00+00:00,18933,4341,17674
2017-04-06 08:00:00+00:00,19302,4502,17959
2017-04-06 09:00:00+00:00,18832,4494,17710
2017-04-06 10:00:00+00:00,18468,4487,17511
2017-04-06 11:00:00+00:00,17456,4342,17451
2017-04-06 12:00:00+00:00,17162,4174,17256
2017-04-06 13:00:00+00:00,17009,4153,17072
2017-04-06 14:00:00+00:00,17176,4121,17064
2017-04-06 15:00:00+00:00,16946,4018,16956
2017-04-06 16:00:00+00:00,16626,4013,16584
2017-04-06 17:00:00+00:00,17021,4203,16277
2017-04-06 18:00:00+00:00,17049,4212,16070
2017-04-06 19:00:00+00:00,17239,4056,16140
2017-04-06 20:00:00+00:00,17423,3920,16358
2017-04-06 21:00:00+00:00,16606,3652,16285
2017-04-06 22:00:00+00:00,15680,3334,15773
2017-04-06 23:00:00+00:00,15157,3065,15010
2017-04-07 00:00:00+00:00,14595,2875,14369
2017-04-07 01:00:00+00:00,14503,2757,13956
2017-04-07 02:00:00+00:00,14301,2734,13769
2017-04-07 03:00:00+00:00,14222,2728,13869
2017-04-07 04:00:00+00:00,14406,2766,14006
2017-04-07 05:00:00+00:00,15081,3022,14494
2017-04-07 06:00:00+00:00,16648,3627,15561
2017-04-07 07:00:00+00:00,18335,4157,16914
2017-04-07 08:00:00+00:00,18462,4382,17132
2017-04-07 09:00:00+00:00,18345,4350,16892
2017-04-07 10:00:00+00:00,17999,4351,16510
2017-04-07 11:00:00+00:00,17320,4245,16093
2017-04-07 12:00:00+00:00,16785,4073,15710
2017-04-07 13:00:00+00:00,16458,3931,15534
2017-04-07 14:00:00+00:00,16021,3719,15375
2017-04-07 15:00:00+00:00,15552,3625,15201
2017-04-07 16:00:00+00:00,15396,3626,15036
2017-04-07 17:00:00+00:00,15442,3817,14936
2017-04-07 18:00:00+00:00,15408,3836,14950
2017-04-07 19:00:00+00:00,15489,3653,15093
2017-04-07 20:00:00+00:00,15866,3598,15223
2017-04-07 21:00:00+00:00,15467,3442,15131
2017-04-07 22:00:00+00:00,14803,3214,14656
2017-04-07 23:00:00+00:00,14353,2958,14248
2017-04-08 00:00:00+00:00,13655,2782,13764
2017-04-08 01:00:00+00:00,13492,2662,13434
2017-04-08 02:00:00+00:00,13495,2610,13326
2017-04-08 03:00:00+00:00,13666,2599,13231
2017-04-08 04:00:00+00:00,13685,2622,13279
2017-04-08 05:00:00+00:00,13799,2694,13440
2017-04-08 06:00:00+00:00,14033,2827,13782
2017-04-08 07:00:00+00:00,14500,3066,14287
2017-04-08 08:00:00+00:00,15384,3342,14745
2017-04-08 09:00:00+00:00,15925,3475,15142
2017-04-08 10:00:00+00:00,16015,3534,15332
2017-04-08 11:00:00+00:00,15797,3502,15206
2017-04-08 12:00:00+00:00,15502,3455,14821
2017-04-08 13:00:00+00:00,15437,3352,14707
2017-04-08 14:00:00+00:00,15010,3256,14519
2017-04-08 15:00:00+00:00,14756,3227,14288
2017-04-08 16:00:00+00:00,14823,3330,14429
2017-04-08 17:00:00+00:00,15032,3615,14642
2017-04-08 18:00:00+00:00,15317,3684,14711
2017-04-08 19:00:00+00:00,15010,3555,14772
2017-04-08 20:00:00+00:00,15121,3527,14894
2017-04-08 21:00:00+00:00,14667,3441,14825
2017-04-08 22:00:00+00:00,14068,3218,14422
2017-04-08 23:00:00+00:00,13701,2999,14033
2017-04-09 00:00:00+00:00,13428,2796,13706
2017-04-09 01:00:00+00:00,13332,2647,13516
2017-04-09 02:00:00+00:00,13348,2592,13446
2017-04-09 03:00:00+00:00,13150,2569,13354
2017-04-09 04:00:00+00:00,13117,2588,13418
2017-04-09 05:00:00+00:00,13232,2640,13464
2017-04-09 06:00:00+00:00,13344,2740,13655
2017-04-09 07:00:00+00:00,13768,3004,13879
2017-04-09 08:00:00+00:00,14443,3289,14206
2017-04-09 09:00:00+00:00,15168,3399,14444
2017-04-09 10:00:00+00:00,15262,3441,14592
2017-04-09 11:00:00+00:00,15191,3414,14526
2017-04-09 12:00:00+00:00,14985,3348,14424
2017-04-09 13:00:00+00:00,14716,3237,14233
2017-04-09 14:00:00+00:00,14421,3227,14162
2017-04-09 15:00:00+00:00,14219,3172,14180
2017-04-09 16:00:00+00:00,14224,3222,14243
2017-04-09 17:00:00+00:00,14397,3458,14370
2017-04-09 18:00:00+00:00,14960,3537,14469
2017-04-09 19:00:00+00:00,15250,3445,14614
2017-04-09 20:00:00+00:00,15544,3468,14752
2017-04-09 21:00:00+00:00,15187,3372,14745
2017-04-09 22:00:00+00:00,14373,3117,14553
2017-04-09 23:00:00+00:00,13603,2878,14203
2017-04-10 00:00:00+00:00,13329,2699,13647
2017-04-10 01:00:00+00:00,13288,2610,13424
2017-04-10 02:00:00+00:00,13082,2581,13223
2017-04-10 03:00:00+00:00,13332,2612,13217
2017-04-10 04:00:00+00:00,13635,2678,13209
2017-04-10 05:00:00+00:00,14346,2807,13639
2017-04-10 06:00:00+00:00,15747,3139,14410
2017-04-10 07:00:00+00:00,17055,3636,15496
2017-04-10 08:00:00+00:00,17663,3986,16201
2017-04-10 09:00:00+00:00,17733,4065,16024
2017-04-10 10:00:00+00:00,17687,4132,15977
2017-04-10 11:00:00+00:00,17622,4095,15866
2017-04-10 12:00:00+00:00,17493,4108,15716
2017-04-10 13:00:00+00:00,17549,4129,15596
2017-04-10 14:00:00+00:00,17251,4077,15482
2017-04-10 15:00:00+00:00,17118,3935,15405
2017-04-10 16:00:00+00:00,17103,3845,15374
2017-04-10 17:00:00+00:00,17125,3911,15414
2017-04-10 18:00:00+00:00,16721,3868,15308
2017-04-10 19:00:00+00:00,16833,3694,15471
2017-04-10 20:00:00+00:00,17015,3639,15629
2017-04-10 21:00:00+00:00,16674,3528,15674
2017-04-10 22:00:00+00:00,15862,3273,15280
2017-04-10 23:00:00+00:00,15030,2998,14813
2017-04-11 00:00:00+00:00,14508,2790,14451
2017-04-11 01:00:00+00:00,14732,2708,14117
2017-04-11 02:00:00+00:00,14701,2683,13974
2017-04-11 03:00:00+00:00,14597,2676,13983
2017-04-11 04:00:00+00:00,14767,2744,14152
2017-04-11 05:00:00+00:00,15436,2982,14479
2017-04-11 06:00:00+00:00,16805,3387,15332
2017-04-11 07:00:00+00:00,18041,3891,16454
2017-04-11 08:00:00+00:00,18433,4135,16675
2017-04-11 09:00:00+00:00,18113,4196,16597
2017-04-11 10:00:00+00:00,18339,4297,16581
2017-04-11 11:00:00+00:00,18126,4274,16403
2017-04-11 12:00:00+00:00,17737,4116,16186
2017-04-11 13:00:00+00:00,17661,4041,15953
2017-04-11 14:00:00+00:00,17289,3963,15934
2017-04-11 15:00:00+00:00,17189,3809,15751
2017-04-11 16:00:00+00:00,17235,3765,15711
2017-04-11 17:00:00+00:00,17415,4113,15630
2017-04-11 18:00:00+00:00,17347,4164,15744
2017-04-11 19:00:00+00:00,17790,4053,15952
2017-04-11 20:00:00+00:00,17952,3993,16023
2017-04-11 21:00:00+00:00,17172,3780,15960
2017-04-11 22:00:00+00:00,16187,3458,15528
2017-04-11 23:00:00+00:00,15452,3184,14983
2017-04-12 00:00:00+00:00,14881,2973,14431
2017-04-12 01:00:00+00:00,14659,2827,14197
2017-04-12 02:00:00+00:00,14638,2771,14084
2017-04-12 03:00:00+00:00,14737,2783,14092
2017-04-12 04:00:00+00:00,14779,2797,14259
2017-04-12 05:00:00+00:00,15517,2994,14435
2017-04-12 06:00:00+00:00,16925,3341,15234
2017-04-12 07:00:00+00:00,18259,3869,16029
2017-04-12 08:00:00+00:00,18564,4167,16411
2017-04-12 09:00:00+00:00,18520,4290,16561
2017-04-12 10:00:00+00:00,18381,4395,16481
2017-04-12 11:00:00+00:00,18099,4358,16171
2017-04-12 12:00:00+00:00,18033,4237,15747
2017-04-12 13:00:00+00:00,18201,4215,15498
2017-04-12 14:00:00+00:00,17870,4089,15367
2017-04-12 15:00:00+00:00,17823,3929,15227
2017-04-12 16:00:00+00:00,17527,3875,15080
2017-04-12 17:00:00+00:00,17550,3990,14953
2017-04-12 18:00:00+00:00,17615,3940,14999
2017-04-12 19:00:00+00:00,17620,3743,15183
2017-04-12 20:00:00+00:00,17996,3705,15149
2017-04-12 21:00:00+00:00,17477,3573,15172
2017-04-12 22:00:00+00:00,16215,3277,14732
2017-04-12 23:00:00+00:00,15544,3018,14339
2017-04-13 00:00:00+00:00,14855,2774,13828
2017-04-13 01:00:00+00:00,14516,2653,13574
2017-04-13 02:00:00+00:00,14511,2555,13533
2017-04-13 03:00:00+00:00,14571,2566,13494
2017-04-13 04:00:00+00:00,14691,2632,13518
2017-04-13 05:00:00+00:00,15283,2677,13791
2017-04-13 06:00:00+00:00,16732,2791,14217
2017-04-13 07:00:00+00:00,18412,3044,14809
2017-04-13 08:00:00+00:00,19046,3326,15248
2017-04-13 09:00:00+00:00,19185,3547,15713
2017-04-13 10:00:00+00:00,19051,3676,15899
2017-04-13 11:00:00+00:00,19016,3667,15721
2017-04-13 12:00:00+00:00,18500,3591,15526
2017-04-13 13:00:00+00:00,18184,3463,15331
2017-04-13 14:00:00+00:00,17884,3367,15288
2017-04-13 15:00:00+00:00,17632,3308,15150
2017-04-13 16:00:00+00:00,17572,3270,15396
2017-04-13 17:00:00+00:00,17796,3494,15246
2017-04-13 18:00:00+00:00,17521,3522,15187
2017-04-13 19:00:00+00:00,17334,3373,15032
2017-04-13 20:00:00+00:00,17340,3321,15196
2017-04-13 21:00:00+00:00,16828,3266,15271
2017-04-13 22:00:00+00:00,16026,3056,15012
2017-04-13 23:00:00+00:00,15064,2818,14705
2017-04-14 00:00:00+00:00,14713,2621,14399
2017-04-14 01:00:00+00:00,14404,2522,14176
2017-04-14 02:00:00+00:00,14188,2456,14165
2017-04-14 03:00:00+00:00,14224,2486,14246
2017-04-14 04:00:00+00:00,14205,2524,14371
2017-04-14 05:00:00+00:00,14457,2617,14582
2017-04-14 06:00:00+00:00,14751,2761,14821
2017-04-14 07:00:00+00:00,15364,3002,15275
2017-04-14 08:00:00+00:00,16132,3227,15613
2017-04-14 09:00:00+00:00,16480,3348,15835
2017-04-14 10:00:00+00:00,16705,3497,15808
2017-04-14 11:00:00+00:00,16780,3487,15602
2017-04-14 12:00:00+00:00,16543,3466,15348
2017-04-14 13:00:00+00:00,16342,3357,15250
2017-04-14 14:00:00+00:00,16383,3310,15164
2017-04-14 15:00:00+00:00,16427,3304,15030
2017-04-14 16:00:00+00:00,16433,3379,14862
2017-04-14 17:00:00+00:00,16837,3640,14762
2017-04-14 18:00:00+00:00,16738,3663,14964
2017-04-14 19:00:00+00:00,16852,3520,15148
2017-04-14 20:00:00+00:00,17088,3484,15336
2017-04-14 21:00:00+00:00,16892,3438,15504
2017-04-14 22:00:00+00:00,16363,3209,15272
2017-04-14 23:00:00+00:00,15859,3008,14947
2017-04-15 00:00:00+00:00,15345,2813,14530
2017-04-15 01:00:00+00:00,15008,2670,14243
2017-04-15 02:00:00+00:00,15048,2634,14144
2017-04-15 03:00:00+00:00,14968,2633,14273
2017-04-15 04:00:00+00:00,15156,2642,14417
2017-04-15 05:00:00+00:00,15221,2718,14440
2017-04-15 06:00:00+00:00,15121,2824,14667
2017-04-15 07:00:00+00:00,15504,3081,14973
2017-04-15 08:00:00+00:00,15997,3424,15454
2017-04-15 09:00:00+00:00,16451,3622,15960
2017-04-15 10:00:00+00:00,16639,3694,16014
2017-04-15 11:00:00+00:00,16391,3702,15742
2017-04-15 12:00:00+00:00,16044,3696,15642
2017-04-15 13:00:00+00:00,15863,3602,15622
2017-04-15 14:00:00+00:00,15744,3554,15514
2017-04-15 15:00:00+00:00,15689,3539,15459
2017-04-15 16:00:00+00:00,15461,3531,15367
2017-04-15 17:00:00+00:00,15420,3750,15389
2017-04-15 18:00:00+00:00,15524,3821,15470
2017-04-15 19:00:00+00:00,15676,3701,15495
2017-04-15 20:00:00+00:00,16219,3632,15561
2017-04-15 21:00:00+00:00,16098,3574,15734
2017-04-15 22:00:00+00:00,15795,3353,15496
2017-04-15 23:00:00+00:00,15397,3165,15177
2017-04-16 00:00:00+00:00,15088,2992,14909
2017-04-16 01:00:00+00:00,14912,2871,14725
2017-04-16 02:00:00+00:00,14744,2806,14611
2017-04-16 03:00:00+00:00,14853,2783,14624
2017-04-16 04:00:00+00:00,14848,2803,14707
2017-04-16 05:00:00+00:00,14904,2872,14805
2017-04-16 06:00:00+00:00,14940,2920,14834
2017-04-16 07:00:00+00:00,15343,3145,14995
2017-04-16 08:00:00+00:00,15612,3430,15273
2017-04-16 09:00:00+00:00,15936,3585,15644
2017-04-16 10:00:00+00:00,16013,3660,15744
2017-04-16 11:00:00+00:00,15910,3623,15448
2017-04-16 12:00:00+00:00,15897,3517,15243
2017-04-16 13:00:00+00:00,15779,3413,15170
2017-04-16 14:00:00+00:00,15425,3336,14928
2017-04-16 15:00:00+00:00,15226,3295,14814
2017-04-16 16:00:00+00:00,15261,3365,14750
2017-04-16 17:00:00+00:00,15487,3595,14838
2017-04-16 18:00:00+00:00,15653,3578,15039
2017-04-16 19:00:00+00:00,15919,3498,15200
2017-04-16 20:00:00+00:00,16290,3486,15404
2017-04-16 21:00:00+00:00,16413,3467,15675
2017-04-16 22:00:00+00:00,15911,3272,15455
2017-04-16 23:00:00+00:00,15456,3063,15097
2017-04-17 00:00:00+00:00,14829,2860,14710
2017-04-17 01:00:00+00:00,14746,2712,14505
2017-04-17 02:00:00+00:00,14833,2668,14466
2017-04-17 03:00:00+00:00,14954,2681,14433
2017-04-17 04:00:00+00:00,15111,2731,14580
2017-04-17 05:00:00+00:00,15025,2823,14701
2017-04-17 06:00:00+00:00,15383,2907,14960
2017-04-17 07:00:00+00:00,15673,3145,15388
2017-04-17 08:00:00+00:00,15979,3430,15781
2017-04-17 09:00:00+00:00,16036,3647,16107
2017-04-17 10:00:00+00:00,16217,3739,16123
2017-04-17 11:00:00+00:00,16366,3748,16209
2017-04-17 12:00:00+00:00,16347,3657,16035
2017-04-17 13:00:00+00:00,16269,3552,15844
2017-04-17 14:00:00+00:00,16013,3427,15668
2017-04-17 15:00:00+00:00,15898,3347,15546
2017-04-17 16:00:00+00:00,15876,3401,15542
2017-04-17 17:00:00+00:00,16134,3698,15480
2017-04-17 18:00:00+00:00,15988,3761,15482
2017-04-17 19:00:00+00:00,16339,3559,15645
2017-04-17 20:00:00+00:00,16864,3521,15949
2017-04-17 21:00:00+00:00,16835,3436,16303
2017-04-17 22:00:00+00:00,16151,3169,15940
2017-04-17 23:00:00+00:00,15513,2917,15466
2017-04-18 00:00:00+00:00,15249,2804,14975
2017-04-18 01:00:00+00:00,15273,2757,14785
2017-04-18 02:00:00+00:00,15384,2806,14756
2017-04-18 03:00:00+00:00,15504,2859,14761
2017-04-18 04:00:00+00:00,15790,2947,15047
2017-04-18 05:00:00+00:00,16291,3131,15701
2017-04-18 06:00:00+00:00,18083,3663,16927
2017-04-18 07:00:00+00:00,20027,4140,18401
2017-04-18 08:00:00+00:00,19692,4268,18513
2017-04-18 09:00:00+00:00,19059,4358,18005
2017-04-18 10:00:00+00:00,18751,4385,17559
2017-04-18 11:00:00+00:00,18661,4416,17236
2017-04-18 12:00:00+00:00,18414,4358,16975
2017-04-18 13:00:00+00:00,18416,4359,16752
2017-04-18 14:00:00+00:00,18159,4277,16706
2017-04-18 15:00:00+00:00,18045,4135,16588
2017-04-18 16:00:00+00:00,17770,4095,16368
2017-04-18 17:00:00+00:00,17686,4310,16222
2017-04-18 18:00:00+00:00,17587,4296,16012
2017-04-18 19:00:00+00:00,17715,4143,16073
2017-04-18 20:00:00+00:00,18113,4039,16274
2017-04-18 21:00:00+00:00,17956,3987,16767
2017-04-18 22:00:00+00:00,17144,3702,16489
2017-04-18 23:00:00+00:00,16507,3400,15759
2017-04-19 00:00:00+00:00,15886,3166,15231
2017-04-19 01:00:00+00:00,15945,3086,14987
2017-04-19 02:00:00+00:00,15907,3060,14847
2017-04-19 03:00:00+00:00,16048,3088,14967
2017-04-19 04:00:00+00:00,16384,3168,15206
2017-04-19 05:00:00+00:00,17004,3428,15759
2017-04-19 06:00:00+00:00,18753,3925,16890
2017-04-19 07:00:00+00:00,19641,4434,18149
2017-04-19 08:00:00+00:00,19285,4634,18266
2017-04-19 09:00:00+00:00,18503,4616,17822
2017-04-19 10:00:00+00:00,18122,4644,17497
2017-04-19 11:00:00+00:00,18141,4593,17137
2017-04-19 12:00:00+00:00,17635,4449,16887
2017-04-19 13:00:00+00:00,17275,4482,16851
2017-04-19 14:00:00+00:00,17115,4399,16741
2017-04-19 15:00:00+00:00,16849,4294,16610
2017-04-19 16:00:00+00:00,16693,4183,16550
2017-04-19 17:00:00+00:00,16942,4365,16403
2017-04-19 18:00:00+00:00,16957,4280,16312
2017-04-19 19:00:00+00:00,16945,4106,16458
2017-04-19 20:00:00+00:00,17297,4052,16532
2017-04-19 21:00:00+00:00,16900,3960,16499
2017-04-19 22:00:00+00:00,15992,3642,16040
2017-04-19 23:00:00+00:00,15392,3281,15357
2017-04-20 00:00:00+00:00,14585,3074,14653
2017-04-20 01:00:00+00:00,14337,2955,14243
2017-04-20 02:00:00+00:00,14526,2911,14185
2017-04-20 03:00:00+00:00,14538,2929,14149
2017-04-20 04:00:00+00:00,14662,2986,14317
2017-04-20 05:00:00+00:00,15496,3222,14581
2017-04-20 06:00:00+00:00,16740,3696,15726
2017-04-20 07:00:00+00:00,17837,4258,17180
2017-04-20 08:00:00+00:00,18140,4437,17631
2017-04-20 09:00:00+00:00,17995,4420,17474
2017-04-20 10:00:00+00:00,17798,4461,17311
2017-04-20 11:00:00+00:00,17817,4407,16961
2017-04-20 12:00:00+00:00,17776,4321,16677
2017-04-20 13:00:00+00:00,17878,4305,16558
2017-04-20 14:00:00+00:00,17721,4203,16565
2017-04-20 15:00:00+00:00,17595,4019,16347
2017-04-20 16:00:00+00:00,17565,4001,16382
2017-04-20 17:00:00+00:00,17630,4180,16200
2017-04-20 18:00:00+00:00,17489,4088,16012
2017-04-20 19:00:00+00:00,17299,3903,15898
2017-04-20 20:00:00+00:00,17179,3789,15926
2017-04-20 21:00:00+00:00,16743,3669,15980
2017-04-20 22:00:00+00:00,15762,3360,15610
2017-04-20 23:00:00+00:00,14622,3018,14938
2017-04-21 00:00:00+00:00,14357,2827,14447
2017-04-21 01:00:00+00:00,13982,2726,14110
2017-04-21 02:00:00+00:00,13885,2690,13959
2017-04-21 03:00:00+00:00,13822,2688,13922
2017-04-21 04:00:00+00:00,14119,2753,14029
2017-04-21 05:00:00+00:00,14789,2981,14374
2017-04-21 06:00:00+00:00,16286,3467,15458
2017-04-21 07:00:00+00:00,17814,4054,16718
2017-04-21 08:00:00+00:00,17929,4252,16891
2017-04-21 09:00:00+00:00,17756,4271,16767
2017-04-21 10:00:00+00:00,17523,4330,16591
2017-04-21 11:00:00+00:00,17094,4297,16219
2017-04-21 12:00:00+00:00,16869,4123,16185
2017-04-21 13:00:00+00:00,16503,4077,15984
2017-04-21 14:00:00+00:00,16403,3931,15877
2017-04-21 15:00:00+00:00,16212,3736,15899
2017-04-21 16:00:00+00:00,16118,3784,15743
2017-04-21 17:00:00+00:00,16162,4043,15631
2017-04-21 18:00:00+00:00,16249,3982,15740
2017-04-21 19:00:00+00:00,16138,3752,15720
2017-04-21 20:00:00+00:00,16298,3536,15802
2017-04-21 21:00:00+00:00,16040,3498,15905
2017-04-21 22:00:00+00:00,15656,3289,15707
2017-04-21 23:00:00+00:00,15036,3069,15159
2017-04-22 00:00:00+00:00,14446,2972,14657
2017-04-22 01:00:00+00:00,14281,2871,14331
2017-04-22 02:00:00+00:00,14178,2782,14141
2017-04-22 03:00:00+00:00,14190,2789,14147
2017-04-22 04:00:00+00:00,14239,2773,14244
2017-04-22 05:00:00+00:00,14154,2835,14363
2017-04-22 06:00:00+00:00,14406,2897,14428
2017-04-22 07:00:00+00:00,14824,3068,14772
2017-04-22 08:00:00+00:00,15051,3309,15172
2017-04-22 09:00:00+00:00,15512,3584,15588
2017-04-22 10:00:00+00:00,15554,3773,15822
2017-04-22 11:00:00+00:00,15504,3767,15680
2017-04-22 12:00:00+00:00,15347,3660,15485
2017-04-22 13:00:00+00:00,15171,3570,15192
2017-04-22 14:00:00+00:00,14878,3514,14915
2017-04-22 15:00:00+00:00,14857,3399,14773
2017-04-22 16:00:00+00:00,15081,3469,14864
2017-04-22 17:00:00+00:00,15251,3591,15001
2017-04-22 18:00:00+00:00,15159,3548,15070
2017-04-22 19:00:00+00:00,15302,3343,15237
2017-04-22 20:00:00+00:00,15598,3275,15229
2017-04-22 21:00:00+00:00,15655,3311,15300
2017-04-22 22:00:00+00:00,15156,3120,15094
2017-04-22 23:00:00+00:00,14524,2908,14839
2017-04-23 00:00:00+00:00,14150,2760,14428
2017-04-23 01:00:00+00:00,14126,2668,14381
2017-04-23 02:00:00+00:00,14140,2602,14327
2017-04-23 03:00:00+00:00,14272,2558,14239
2017-04-23 04:00:00+00:00,14377,2578,14276
2017-04-23 05:00:00+00:00,14112,2628,14147
2017-04-23 06:00:00+00:00,14209,2716,14239
2017-04-23 07:00:00+00:00,14664,2924,14503
2017-04-23 08:00:00+00:00,15084,3167,14778
2017-04-23 09:00:00+00:00,15481,3396,15003
2017-04-23 10:00:00+00:00,15503,3506,15258
2017-04-23 11:00:00+00:00,15472,3502,15247
2017-04-23 12:00:00+00:00,15255,3447,15055
2017-04-23 13:00:00+00:00,15056,3439,14861
2017-04-23 14:00:00+00:00,15019,3387,14896
2017-04-23 15:00:00+00:00,14770,3360,14931
2017-04-23 16:00:00+00:00,14954,3323,14920
2017-04-23 17:00:00+00:00,15182,3552,14937
2017-04-23 18:00:00+00:00,15449,3567,14988
2017-04-23 19:00:00+00:00,15538,3354,15256
2017-04-23 20:00:00+00:00,16194,3334,15481
2017-04-23 21:00:00+00:00,16046,3420,15797
2017-04-23 22:00:00+00:00,15078,3239,15463
2017-04-23 23:00:00+00:00,14750,2963,14847
2017-04-24 00:00:00+00:00,14370,2791,14365
2017-04-24 01:00:00+00:00,14173,2700,14056
2017-04-24 02:00:00+00:00,14165,2617,14019
2017-04-24 03:00:00+00:00,14259,2615,13821
2017-04-24 04:00:00+00:00,14595,2689,13944
2017-04-24 05:00:00+00:00,14969,2900,14545
2017-04-24 06:00:00+00:00,16502,3448,15859
2017-04-24 07:00:00+00:00,17788,4112,17458
2017-04-24 08:00:00+00:00,18347,4198,17887
2017-04-24 09:00:00+00:00,18004,4238,17680
2017-04-24 10:00:00+00:00,17701,4326,17462
2017-04-24 11:00:00+00:00,17610,4389,17275
2017-04-24 12:00:00+00:00,17673,4239,17173
2017-04-24 13:00:00+00:00,17555,4235,16910
2017-04-24 14:00:00+00:00,17435,4165,16939
2017-04-24 15:00:00+00:00,17395,3684,16847
2017-04-24 16:00:00+00:00,17389,3572,16765
2017-04-24 17:00:00+00:00,17609,3770,16624
2017-04-24 18:00:00+00:00,17615,3668,16579
2017-04-24 19:00:00+00:00,17409,3515,16662
2017-04-24 20:00:00+00:00,17474,3462,16649
2017-04-24 21:00:00+00:00,17384,3544,16952
2017-04-24 22:00:00+00:00,16474,3299,16664
2017-04-24 23:00:00+00:00,15893,2966,15875
2017-04-25 00:00:00+00:00,15131,2778,15206
2017-04-25 01:00:00+00:00,15126,2676,14891
2017-04-25 02:00:00+00:00,15142,2631,14786
2017-04-25 03:00:00+00:00,15178,2702,14791
2017-04-25 04:00:00+00:00,15262,2805,14915
2017-04-25 05:00:00+00:00,15951,3027,15099
2017-04-25 06:00:00+00:00,17415,3550,16427
2017-04-25 07:00:00+00:00,18936,4096,17915
2017-04-25 08:00:00+00:00,19231,4317,18108
2017-04-25 09:00:00+00:00,18943,4420,17700
2017-04-25 10:00:00+00:00,19032,4589,17366
2017-04-25 11:00:00+00:00,18747,4518,16918
2017-04-25 12:00:00+00:00,18182,4406,16640
2017-04-25 13:00:00+00:00,17801,4362,16468
2017-04-25 14:00:00+00:00,17652,4360,16522
2017-04-25 15:00:00+00:00,17514,4184,16498
2017-04-25 16:00:00+00:00,17472,4108,16459
2017-04-25 17:00:00+00:00,17767,4329,16261
2017-04-25 18:00:00+00:00,17814,4225,16061
2017-04-25 19:00:00+00:00,17652,4052,15889
2017-04-25 20:00:00+00:00,17713,3931,16148
2017-04-25 21:00:00+00:00,17614,3905,16301
2017-04-25 22:00:00+00:00,16544,3587,16112
2017-04-25 23:00:00+00:00,15571,3294,15461
2017-04-26 00:00:00+00:00,14910,3090,14801
2017-04-26 01:00:00+00:00,14832,3000,14622
2017-04-26 02:00:00+00:00,14774,2986,14546
2017-04-26 03:00:00+00:00,14849,3017,14618
2017-04-26 04:00:00+00:00,15184,3125,14860
2017-04-26 05:00:00+00:00,15586,3330,15323
2017-04-26 06:00:00+00:00,17021,3868,16613
2017-04-26 07:00:00+00:00,18758,4416,17578
2017-04-26 08:00:00+00:00,18732,4576,17635
2017-04-26 09:00:00+00:00,18618,4576,17202
2017-04-26 10:00:00+00:00,18431,4682,16918
2017-04-26 11:00:00+00:00,18152,4596,16744
