"Time (CET)","Day-ahead Total Load Forecast [MW] - Norway (NO)","Actual Total Load [MW] - Norway (NO)"
"04.06.2018 05:00 - 04.06.2018 06:00","10354","10426"
"04.06.2018 06:00 - 04.06.2018 07:00","11458","11454"
"04.06.2018 07:00 - 04.06.2018 08:00","12650","12650"
"04.06.2018 08:00 - 04.06.2018 09:00","13157","13132"
"04.06.2018 09:00 - 04.06.2018 10:00","13151","13150"
"04.06.2018 10:00 - 04.06.2018 11:00","13096","13096"
"04.06.2018 11:00 - 04.06.2018 12:00","13140","13140"
"04.06.2018 12:00 - 04.06.2018 13:00","13110","13110"
"04.06.2018 13:00 - 04.06.2018 14:00","13166","13166"
"04.06.2018 14:00 - 04.06.2018 15:00","12983","12983"
"04.06.2018 15:00 - 04.06.2018 16:00","12944","12944"
"04.06.2018 16:00 - 04.06.2018 17:00","12912","12912"
"04.06.2018 17:00 - 04.06.2018 18:00","12977","12977"
"04.06.2018 18:00 - 04.06.2018 19:00","12753","12753"
"04.06.2018 19:00 - 04.06.2018 20:00","12627","12627"
"04.06.2018 20:00 - 04.06.2018 21:00","12562","12561"
"04.06.2018 21:00 - 04.06.2018 22:00","12486","12486"
"04.06.2018 22:00 - 04.06.2018 23:00","12358","12365"
"04.06.2018 23:00 - 05.06.2018 00:00","11823","11997"
"05.06.2018 00:00 - 05.06.2018 01:00","11345","11345"
"05.06.2018 01:00 - 05.06.2018 02:00","11048","11048"
"05.06.2018 02:00 - 05.06.2018 03:00","10851","10850"
"05.06.2018 03:00 - 05.06.2018 04:00","10787","10788"
"05.06.2018 04:00 - 05.06.2018 05:00","10737","10737"
"05.06.2018 05:00 - 05.06.2018 06:00","10982","10982"
"05.06.2018 06:00 - 05.06.2018 07:00","11967","11967"
"05.06.2018 07:00 - 05.06.2018 08:00","13335","13335"
"05.06.2018 08:00 - 05.06.2018 09:00","13450","13449"
"05.06.2018 09:00 - 05.06.2018 10:00","13403","13402"
"05.06.2018 10:00 - 05.06.2018 11:00","13382","13382"
"05.06.2018 11:00 - 05.06.2018 12:00","13398","13275"
"05.06.2018 12:00 - 05.06.2018 13:00","13272","13213"
"05.06.2018 13:00 - 05.06.2018 14:00","13379","13296"
"05.06.2018 14:00 - 05.06.2018 15:00","13373","13285"
"05.06.2018 15:00 - 05.06.2018 16:00","13373","13373"
"05.06.2018 16:00 - 05.06.2018 17:00","13379","13378"
"05.06.2018 17:00 - 05.06.2018 18:00","13196","13196"
"05.06.2018 18:00 - 05.06.2018 19:00","13029","13029"
"05.06.2018 19:00 - 05.06.2018 20:00","12965","12965"
"05.06.2018 20:00 - 05.06.2018 21:00","12888","12888"
"05.06.2018 21:00 - 05.06.2018 22:00","12765","12765"
"05.06.2018 22:00 - 05.06.2018 23:00","12583","12610"
"05.06.2018 23:00 - 06.06.2018 00:00","11916","12161"
"06.06.2018 00:00 - 06.06.2018 01:00","11497","11497"
"06.06.2018 01:00 - 06.06.2018 02:00","11178","11178"
"06.06.2018 02:00 - 06.06.2018 03:00","11018","11017"
"06.06.2018 03:00 - 06.06.2018 04:00","10946","10946"
"06.06.2018 04:00 - 06.06.2018 05:00","10816","10816"
"06.06.2018 05:00 - 06.06.2018 06:00","11048","11048"
"06.06.2018 06:00 - 06.06.2018 07:00","12164","12164"
"06.06.2018 07:00 - 06.06.2018 08:00","13241","13241"
"06.06.2018 08:00 - 06.06.2018 09:00","13439","13440"
"06.06.2018 09:00 - 06.06.2018 10:00","13458","13458"
"06.06.2018 10:00 - 06.06.2018 11:00","13545","13588"
"06.06.2018 11:00 - 06.06.2018 12:00","13412","13412"
"06.06.2018 12:00 - 06.06.2018 13:00","13257","13257"
"06.06.2018 13:00 - 06.06.2018 14:00","13188","13188"
"06.06.2018 14:00 - 06.06.2018 15:00","13276","13276"
"06.06.2018 15:00 - 06.06.2018 16:00","13349","13349"
"06.06.2018 16:00 - 06.06.2018 17:00","13287","13287"
"06.06.2018 17:00 - 06.06.2018 18:00","13230","13230"
"06.06.2018 18:00 - 06.06.2018 19:00","13085","13130"
"06.06.2018 19:00 - 06.06.2018 20:00","12956","12957"
"06.06.2018 20:00 - 06.06.2018 21:00","12868","12868"
"06.06.2018 21:00 - 06.06.2018 22:00","12793","12793"
"06.06.2018 22:00 - 06.06.2018 23:00","12432","12415"
"06.06.2018 23:00 - 07.06.2018 00:00","11889","11958"
"07.06.2018 00:00 - 07.06.2018 01:00","11309","11309"
"07.06.2018 01:00 - 07.06.2018 02:00","10892","10892"
"07.06.2018 02:00 - 07.06.2018 03:00","10779","10779"
"07.06.2018 03:00 - 07.06.2018 04:00","10589","10590"
"07.06.2018 04:00 - 07.06.2018 05:00","10488","10488"
"07.06.2018 05:00 - 07.06.2018 06:00","10854","10853"
"07.06.2018 06:00 - 07.06.2018 07:00","11950","11924"
"07.06.2018 07:00 - 07.06.2018 08:00","13240","13240"
"07.06.2018 08:00 - 07.06.2018 09:00","13546","13546"
"07.06.2018 09:00 - 07.06.2018 10:00","13239","13000"
"07.06.2018 10:00 - 07.06.2018 11:00","13228","13228"
"07.06.2018 11:00 - 07.06.2018 12:00","13247","13247"
"07.06.2018 12:00 - 07.06.2018 13:00","13145","13146"
"07.06.2018 13:00 - 07.06.2018 14:00","13106","13105"
"07.06.2018 14:00 - 07.06.2018 15:00","13148","13148"
"07.06.2018 15:00 - 07.06.2018 16:00","13412","13412"
"07.06.2018 16:00 - 07.06.2018 17:00","13284","13229"
"07.06.2018 17:00 - 07.06.2018 18:00","13196","13141"
"07.06.2018 18:00 - 07.06.2018 19:00","12902","12847"
"07.06.2018 19:00 - 07.06.2018 20:00","12811","12755"
"07.06.2018 20:00 - 07.06.2018 21:00","12733","12681"
"07.06.2018 21:00 - 07.06.2018 22:00","12551","12499"
"07.06.2018 22:00 - 07.06.2018 23:00","12362","12273"
"07.06.2018 23:00 - 08.06.2018 00:00","11928","11860"
"08.06.2018 00:00 - 08.06.2018 01:00","11414","11413"
"08.06.2018 01:00 - 08.06.2018 02:00","10921","10921"
"08.06.2018 02:00 - 08.06.2018 03:00","10767","10767"
"08.06.2018 03:00 - 08.06.2018 04:00","10724","10724"
"08.06.2018 04:00 - 08.06.2018 05:00","10667","10666"
"08.06.2018 05:00 - 08.06.2018 06:00","10869","10869"
"08.06.2018 06:00 - 08.06.2018 07:00","11812","11812"
"08.06.2018 07:00 - 08.06.2018 08:00","12985","12984"
"08.06.2018 08:00 - 08.06.2018 09:00","13480","13480"
"08.06.2018 09:00 - 08.06.2018 10:00","13510","13510"
"08.06.2018 10:00 - 08.06.2018 11:00","13376","13376"
"08.06.2018 11:00 - 08.06.2018 12:00","13392","13392"
"08.06.2018 12:00 - 08.06.2018 13:00","13343","13343"
"08.06.2018 13:00 - 08.06.2018 14:00","13250","13249"
"08.06.2018 14:00 - 08.06.2018 15:00","13164","13165"
"08.06.2018 15:00 - 08.06.2018 16:00","13040","13041"
"08.06.2018 16:00 - 08.06.2018 17:00","12915","12915"
"08.06.2018 17:00 - 08.06.2018 18:00","12765","12765"
"08.06.2018 18:00 - 08.06.2018 19:00","12591","12591"
"08.06.2018 19:00 - 08.06.2018 20:00","12437","12437"
"08.06.2018 20:00 - 08.06.2018 21:00","12259","12259"
"08.06.2018 21:00 - 08.06.2018 22:00","12045","12044"
"08.06.2018 22:00 - 08.06.2018 23:00","11870","11870"
"08.06.2018 23:00 - 09.06.2018 00:00","11605","11615"
"09.06.2018 00:00 - 09.06.2018 01:00","11076","11076"
"09.06.2018 01:00 - 09.06.2018 02:00","10737","10736"
"09.06.2018 02:00 - 09.06.2018 03:00","10576","10575"
"09.06.2018 03:00 - 09.06.2018 04:00","10431","10431"
"09.06.2018 04:00 - 09.06.2018 05:00","10163","10163"
"09.06.2018 05:00 - 09.06.2018 06:00","10136","10136"
"09.06.2018 06:00 - 09.06.2018 07:00","10405","10405"
"09.06.2018 07:00 - 09.06.2018 08:00","10751","10915"
"09.06.2018 08:00 - 09.06.2018 09:00","10176","11435"
"09.06.2018 09:00 - 09.06.2018 10:00","10753","11967"
"09.06.2018 10:00 - 09.06.2018 11:00","12363","12202"
"09.06.2018 11:00 - 09.06.2018 12:00","12369","12220"
"09.06.2018 12:00 - 09.06.2018 13:00","12306","12053"
"09.06.2018 13:00 - 09.06.2018 14:00","12175","11989"
"09.06.2018 14:00 - 09.06.2018 15:00","12073","11882"
"09.06.2018 15:00 - 09.06.2018 16:00","11994","11843"
"09.06.2018 16:00 - 09.06.2018 17:00","11988","11865"
"09.06.2018 17:00 - 09.06.2018 18:00","12095","11954"
"09.06.2018 18:00 - 09.06.2018 19:00","12149","11915"
"09.06.2018 19:00 - 09.06.2018 20:00","12096","11807"
"09.06.2018 20:00 - 09.06.2018 21:00","12032","11681"
"09.06.2018 21:00 - 09.06.2018 22:00","11881","11529"
"09.06.2018 22:00 - 09.06.2018 23:00","11746","11333"
"09.06.2018 23:00 - 10.06.2018 00:00","11411","11150"
"10.06.2018 00:00 - 10.06.2018 01:00","11052","10854"
"10.06.2018 01:00 - 10.06.2018 02:00","10679","10608"
"10.06.2018 02:00 - 10.06.2018 03:00","10532","10395"
"10.06.2018 03:00 - 10.06.2018 04:00","10372","10256"
"10.06.2018 04:00 - 10.06.2018 05:00","10170","10073"
"10.06.2018 05:00 - 10.06.2018 06:00","10135","10007"
"10.06.2018 06:00 - 10.06.2018 07:00","10231","10101"
"10.06.2018 07:00 - 10.06.2018 08:00","10509","10431"
"10.06.2018 08:00 - 10.06.2018 09:00","10987","10859"
"10.06.2018 09:00 - 10.06.2018 10:00","11488","11348"
"10.06.2018 10:00 - 10.06.2018 11:00","11752","11711"
"10.06.2018 11:00 - 10.06.2018 12:00","11835","11910"
"10.06.2018 12:00 - 10.06.2018 13:00","11797","11965"
"10.06.2018 13:00 - 10.06.2018 14:00","11708","11900"
"10.06.2018 14:00 - 10.06.2018 15:00","11707","11925"
"10.06.2018 15:00 - 10.06.2018 16:00","11709","11850"
"10.06.2018 16:00 - 10.06.2018 17:00","11765","11949"
"10.06.2018 17:00 - 10.06.2018 18:00","11850","12006"
"10.06.2018 18:00 - 10.06.2018 19:00","11904","12174"
"10.06.2018 19:00 - 10.06.2018 20:00","12019","12140"
"10.06.2018 20:00 - 10.06.2018 21:00","12192","12148"
"10.06.2018 21:00 - 10.06.2018 22:00","12160","12114"
"10.06.2018 22:00 - 10.06.2018 23:00","12032","11941"
"10.06.2018 23:00 - 11.06.2018 00:00","11634","11541"
"11.06.2018 00:00 - 11.06.2018 01:00","10988","11019"
"11.06.2018 01:00 - 11.06.2018 02:00","10611","10639"
"11.06.2018 02:00 - 11.06.2018 03:00","10454","10516"
"11.06.2018 03:00 - 11.06.2018 04:00","10400","10453"
"11.06.2018 04:00 - 11.06.2018 05:00","10329","10361"
"11.06.2018 05:00 - 11.06.2018 06:00","10566","10639"
"11.06.2018 06:00 - 11.06.2018 07:00","11577","11610"
"11.06.2018 07:00 - 11.06.2018 08:00","12707","12905"
"11.06.2018 08:00 - 11.06.2018 09:00","13134","13392"
"11.06.2018 09:00 - 11.06.2018 10:00","13109","13430"
"11.06.2018 10:00 - 11.06.2018 11:00","13134","13436"
"11.06.2018 11:00 - 11.06.2018 12:00","13120","13433"
"11.06.2018 12:00 - 11.06.2018 13:00","13112","13408"
"11.06.2018 13:00 - 11.06.2018 14:00","13042","13462"
"11.06.2018 14:00 - 11.06.2018 15:00","13025","13317"
"11.06.2018 15:00 - 11.06.2018 16:00","12923","13334"
"11.06.2018 16:00 - 11.06.2018 17:00","12949","13307"
"11.06.2018 17:00 - 11.06.2018 18:00","12938","13185"
"11.06.2018 18:00 - 11.06.2018 19:00","12767","13069"
"11.06.2018 19:00 - 11.06.2018 20:00","12756","12937"
"11.06.2018 20:00 - 11.06.2018 21:00","12722","12869"
"11.06.2018 21:00 - 11.06.2018 22:00","12648","12705"
"11.06.2018 22:00 - 11.06.2018 23:00","12453","12346"
"11.06.2018 23:00 - 12.06.2018 00:00","11885","11827"
"12.06.2018 00:00 - 12.06.2018 01:00","11335","11334"
"12.06.2018 01:00 - 12.06.2018 02:00","10900","10900"
"12.06.2018 02:00 - 12.06.2018 03:00","10779","10778"
"12.06.2018 03:00 - 12.06.2018 04:00","10810","10782"
"12.06.2018 04:00 - 12.06.2018 05:00","10840","10840"
"12.06.2018 05:00 - 12.06.2018 06:00","10957","10955"
"12.06.2018 06:00 - 12.06.2018 07:00","11440","11946"
"12.06.2018 07:00 - 12.06.2018 08:00","12537","13223"
"12.06.2018 08:00 - 12.06.2018 09:00","12803","13715"
"12.06.2018 09:00 - 12.06.2018 10:00","12981","13867"
"12.06.2018 10:00 - 12.06.2018 11:00","12992","13787"
"12.06.2018 11:00 - 12.06.2018 12:00","12721","13533"
"12.06.2018 12:00 - 12.06.2018 13:00","12740","13490"
"12.06.2018 13:00 - 12.06.2018 14:00","12903","13435"
"12.06.2018 14:00 - 12.06.2018 15:00","12866","13455"
"12.06.2018 15:00 - 12.06.2018 16:00","12832","13360"
"12.06.2018 16:00 - 12.06.2018 17:00","12741","13385"
"12.06.2018 17:00 - 12.06.2018 18:00","12534","13249"
"12.06.2018 18:00 - 12.06.2018 19:00","12378","13045"
"12.06.2018 19:00 - 12.06.2018 20:00","12489","12961"
"12.06.2018 20:00 - 12.06.2018 21:00","12490","12910"
"12.06.2018 21:00 - 12.06.2018 22:00","12146","12668"
"12.06.2018 22:00 - 12.06.2018 23:00","11957","12511"
"12.06.2018 23:00 - 13.06.2018 00:00","11150","12181"
"13.06.2018 00:00 - 13.06.2018 01:00","10849","11669"
"13.06.2018 01:00 - 13.06.2018 02:00","10611","11391"
"13.06.2018 02:00 - 13.06.2018 03:00","10470","11241"
"13.06.2018 03:00 - 13.06.2018 04:00","10372","11105"
"13.06.2018 04:00 - 13.06.2018 05:00","10227","11073"
"13.06.2018 05:00 - 13.06.2018 06:00","10610","11378"
"13.06.2018 06:00 - 13.06.2018 07:00","11673","12394"
"13.06.2018 07:00 - 13.06.2018 08:00","12747","13495"
"13.06.2018 08:00 - 13.06.2018 09:00","13029","13748"
"13.06.2018 09:00 - 13.06.2018 10:00","12889","13410"
"13.06.2018 10:00 - 13.06.2018 11:00","12925","13343"
"13.06.2018 11:00 - 13.06.2018 12:00","12994","13357"
"13.06.2018 12:00 - 13.06.2018 13:00","12870","13383"
"13.06.2018 13:00 - 13.06.2018 14:00","12652","13210"
"13.06.2018 14:00 - 13.06.2018 15:00","12798","13239"
"13.06.2018 15:00 - 13.06.2018 16:00","13067","13204"
"13.06.2018 16:00 - 13.06.2018 17:00","12929","13228"
"13.06.2018 17:00 - 13.06.2018 18:00","12662","12801"
"13.06.2018 18:00 - 13.06.2018 19:00","12579","12845"
"13.06.2018 19:00 - 13.06.2018 20:00","12489","12769"
"13.06.2018 20:00 - 13.06.2018 21:00","12540","12712"
"13.06.2018 21:00 - 13.06.2018 22:00","12301","12618"
"13.06.2018 22:00 - 13.06.2018 23:00","12169","12341"
"13.06.2018 23:00 - 14.06.2018 00:00","11254","11839"
"14.06.2018 00:00 - 14.06.2018 01:00","11330","11330"
"14.06.2018 01:00 - 14.06.2018 02:00","10951","10951"
"14.06.2018 02:00 - 14.06.2018 03:00","10769","10768"
"14.06.2018 03:00 - 14.06.2018 04:00","10713","10713"
"14.06.2018 04:00 - 14.06.2018 05:00","10580","10579"
"14.06.2018 05:00 - 14.06.2018 06:00","10753","10753"
"14.06.2018 06:00 - 14.06.2018 07:00","10905","11833"
"14.06.2018 07:00 - 14.06.2018 08:00","12385","12849"
"14.06.2018 08:00 - 14.06.2018 09:00","12881","13249"
"14.06.2018 09:00 - 14.06.2018 10:00","12781","13392"
"14.06.2018 10:00 - 14.06.2018 11:00","12873","13444"
"14.06.2018 11:00 - 14.06.2018 12:00","12715","13293"
"14.06.2018 12:00 - 14.06.2018 13:00","12564","13280"
"14.06.2018 13:00 - 14.06.2018 14:00","12434","13156"
"14.06.2018 14:00 - 14.06.2018 15:00","12422","13187"
"14.06.2018 15:00 - 14.06.2018 16:00","12739","13192"
"14.06.2018 16:00 - 14.06.2018 17:00","12896","13126"
"14.06.2018 17:00 - 14.06.2018 18:00","12893","13137"
"14.06.2018 18:00 - 14.06.2018 19:00","12780","12820"
"14.06.2018 19:00 - 14.06.2018 20:00","12720","12720"
"14.06.2018 20:00 - 14.06.2018 21:00","12514","12513"
"14.06.2018 21:00 - 14.06.2018 22:00","12409","12409"
"14.06.2018 22:00 - 14.06.2018 23:00","12222","12072"
"14.06.2018 23:00 - 15.06.2018 00:00","11408","11449"
"15.06.2018 00:00 - 15.06.2018 01:00","11221","11221"
"15.06.2018 01:00 - 15.06.2018 02:00","10916","10915"
"15.06.2018 02:00 - 15.06.2018 03:00","10658","10658"
"15.06.2018 03:00 - 15.06.2018 04:00","10527","10527"
"15.06.2018 04:00 - 15.06.2018 05:00","10472","10538"
"15.06.2018 05:00 - 15.06.2018 06:00","10834","10975"
"15.06.2018 06:00 - 15.06.2018 07:00","11899","11899"
"15.06.2018 07:00 - 15.06.2018 08:00","12848","12848"
"15.06.2018 08:00 - 15.06.2018 09:00","13270","13270"
"15.06.2018 09:00 - 15.06.2018 10:00","13266","13265"
"15.06.2018 10:00 - 15.06.2018 11:00","13265","13265"
"15.06.2018 11:00 - 15.06.2018 12:00","13145","13144"
"15.06.2018 12:00 - 15.06.2018 13:00","13079","13079"
"15.06.2018 13:00 - 15.06.2018 14:00","12998","12998"
"15.06.2018 14:00 - 15.06.2018 15:00","12935","12935"
"15.06.2018 15:00 - 15.06.2018 16:00","12981","12981"
"15.06.2018 16:00 - 15.06.2018 17:00","12907","12907"
"15.06.2018 17:00 - 15.06.2018 18:00","12647","12605"
"15.06.2018 18:00 - 15.06.2018 19:00","12214","12215"
"15.06.2018 19:00 - 15.06.2018 20:00","12316","12316"
"15.06.2018 20:00 - 15.06.2018 21:00","12103","12104"
"15.06.2018 21:00 - 15.06.2018 22:00","11940","11940"
"15.06.2018 22:00 - 15.06.2018 23:00","11717","11706"
"15.06.2018 23:00 - 16.06.2018 00:00","11168","11431"
"16.06.2018 00:00 - 16.06.2018 01:00","10889","10889"
"16.06.2018 01:00 - 16.06.2018 02:00","10689","10689"
"16.06.2018 02:00 - 16.06.2018 03:00","10559","10559"
"16.06.2018 03:00 - 16.06.2018 04:00","10381","10380"
"16.06.2018 04:00 - 16.06.2018 05:00","10189","10188"
"16.06.2018 05:00 - 16.06.2018 06:00","10262","10261"
"16.06.2018 06:00 - 16.06.2018 07:00","10428","10428"
"16.06.2018 07:00 - 16.06.2018 08:00","10818","10817"
"16.06.2018 08:00 - 16.06.2018 09:00","11324","11323"
"16.06.2018 09:00 - 16.06.2018 10:00","11921","11921"
"16.06.2018 10:00 - 16.06.2018 11:00","12312","12312"
"16.06.2018 11:00 - 16.06.2018 12:00","12214","12214"
"16.06.2018 12:00 - 16.06.2018 13:00","12172","12171"
"16.06.2018 13:00 - 16.06.2018 14:00","12131","12132"
"16.06.2018 14:00 - 16.06.2018 15:00","12044","12044"
"16.06.2018 15:00 - 16.06.2018 16:00","11948","11947"
"16.06.2018 16:00 - 16.06.2018 17:00","11843","11843"
"16.06.2018 17:00 - 16.06.2018 18:00","11971","11971"
"16.06.2018 18:00 - 16.06.2018 19:00","11991","11991"
"16.06.2018 19:00 - 16.06.2018 20:00","11850","11849"
"16.06.2018 20:00 - 16.06.2018 21:00","11771","11772"
"16.06.2018 21:00 - 16.06.2018 22:00","11559","11559"
"16.06.2018 22:00 - 16.06.2018 23:00","11369","11368"
"16.06.2018 23:00 - 17.06.2018 00:00","11237","11234"
"17.06.2018 00:00 - 17.06.2018 01:00","10864","10942"
"17.06.2018 01:00 - 17.06.2018 02:00","10801","10801"
"17.06.2018 02:00 - 17.06.2018 03:00","10600","10600"
"17.06.2018 03:00 - 17.06.2018 04:00","10303","10303"
"17.06.2018 04:00 - 17.06.2018 05:00","10261","10261"
"17.06.2018 05:00 - 17.06.2018 06:00","10315","10315"
"17.06.2018 06:00 - 17.06.2018 07:00","10367","10367"
"17.06.2018 07:00 - 17.06.2018 08:00","10584","10585"
"17.06.2018 08:00 - 17.06.2018 09:00","11071","11071"
"17.06.2018 09:00 - 17.06.2018 10:00","10272","11464"
"17.06.2018 10:00 - 17.06.2018 11:00","9496","11789"
"17.06.2018 11:00 - 17.06.2018 12:00","9643","11890"
"17.06.2018 12:00 - 17.06.2018 13:00","9594","11822"
"17.06.2018 13:00 - 17.06.2018 14:00","9610","11876"
"17.06.2018 14:00 - 17.06.2018 15:00","9501","11868"
"17.06.2018 15:00 - 17.06.2018 16:00","9529","11922"
"17.06.2018 16:00 - 17.06.2018 17:00","9512","12035"
"17.06.2018 17:00 - 17.06.2018 18:00","9563","11975"
"17.06.2018 18:00 - 17.06.2018 19:00","9485","11970"
"17.06.2018 19:00 - 17.06.2018 20:00","10669","12011"
"17.06.2018 20:00 - 17.06.2018 21:00","11766","12032"
"17.06.2018 21:00 - 17.06.2018 22:00","11914","11915"
"17.06.2018 22:00 - 17.06.2018 23:00","11772","11772"
"17.06.2018 23:00 - 18.06.2018 00:00","11776","11506"
"18.06.2018 00:00 - 18.06.2018 01:00","11028","11028"
"18.06.2018 01:00 - 18.06.2018 02:00","10733","10733"
"18.06.2018 02:00 - 18.06.2018 03:00","10491","10491"
"18.06.2018 03:00 - 18.06.2018 04:00","10515","10515"
"18.06.2018 04:00 - 18.06.2018 05:00","10475","10495"
"18.06.2018 05:00 - 18.06.2018 06:00","10744","10744"
"18.06.2018 06:00 - 18.06.2018 07:00","11266","11803"
"18.06.2018 07:00 - 18.06.2018 08:00","11771","12934"
"18.06.2018 08:00 - 18.06.2018 09:00","12265","13311"
"18.06.2018 09:00 - 18.06.2018 10:00","12125","13272"
"18.06.2018 10:00 - 18.06.2018 11:00","12131","13384"
"18.06.2018 11:00 - 18.06.2018 12:00","12192","13359"
"18.06.2018 12:00 - 18.06.2018 13:00","12349","13457"
"18.06.2018 13:00 - 18.06.2018 14:00","12423","13480"
"18.06.2018 14:00 - 18.06.2018 15:00","12368","13542"
"18.06.2018 15:00 - 18.06.2018 16:00","12408","13460"
"18.06.2018 16:00 - 18.06.2018 17:00","13099","13179"
"18.06.2018 17:00 - 18.06.2018 18:00","13056","13056"
"18.06.2018 18:00 - 18.06.2018 19:00","13052","13052"
"18.06.2018 19:00 - 18.06.2018 20:00","12939","12940"
"18.06.2018 20:00 - 18.06.2018 21:00","12780","12780"
"18.06.2018 21:00 - 18.06.2018 22:00","12539","12539"
"18.06.2018 22:00 - 18.06.2018 23:00","12293","12248"
"18.06.2018 23:00 - 19.06.2018 00:00","11557","11763"
"19.06.2018 00:00 - 19.06.2018 01:00","11060","11060"
"19.06.2018 01:00 - 19.06.2018 02:00","10636","10635"
"19.06.2018 02:00 - 19.06.2018 03:00","10552","10552"
"19.06.2018 03:00 - 19.06.2018 04:00","10701","10701"
"19.06.2018 04:00 - 19.06.2018 05:00","10553","10726"
"19.06.2018 05:00 - 19.06.2018 06:00","10751","10896"
"19.06.2018 06:00 - 19.06.2018 07:00","11824","11824"
"19.06.2018 07:00 - 19.06.2018 08:00","12117","13194"
"19.06.2018 08:00 - 19.06.2018 09:00","12510","13749"
"19.06.2018 09:00 - 19.06.2018 10:00","12438","13394"
"19.06.2018 10:00 - 19.06.2018 11:00","12440","13384"
"19.06.2018 11:00 - 19.06.2018 12:00","12382","13422"
"19.06.2018 12:00 - 19.06.2018 13:00","12424","13460"
"19.06.2018 13:00 - 19.06.2018 14:00","12308","13400"
"19.06.2018 14:00 - 19.06.2018 15:00","12322","13387"
"19.06.2018 15:00 - 19.06.2018 16:00","12910","13030"
"19.06.2018 16:00 - 19.06.2018 17:00","13161","13161"
"19.06.2018 17:00 - 19.06.2018 18:00","12947","12947"
"19.06.2018 18:00 - 19.06.2018 19:00","12685","12685"
"19.06.2018 19:00 - 19.06.2018 20:00","12577","12577"
"19.06.2018 20:00 - 19.06.2018 21:00","12622","12622"
"19.06.2018 21:00 - 19.06.2018 22:00","12630","12630"
"19.06.2018 22:00 - 19.06.2018 23:00","12328","12307"
"19.06.2018 23:00 - 20.06.2018 00:00","11733","11995"
"20.06.2018 00:00 - 20.06.2018 01:00","11524","11521"
"20.06.2018 01:00 - 20.06.2018 02:00","11088","11088"
"20.06.2018 02:00 - 20.06.2018 03:00","10969","10969"
"20.06.2018 03:00 - 20.06.2018 04:00","10880","10879"
"20.06.2018 04:00 - 20.06.2018 05:00","10719","10719"
"20.06.2018 05:00 - 20.06.2018 06:00","11050","11050"
"20.06.2018 06:00 - 20.06.2018 07:00","12152","12151"
"20.06.2018 07:00 - 20.06.2018 08:00","13272","13272"
"20.06.2018 08:00 - 20.06.2018 09:00","12560","13654"
"20.06.2018 09:00 - 20.06.2018 10:00","12165","13552"
"20.06.2018 10:00 - 20.06.2018 11:00","12082","13485"
"20.06.2018 11:00 - 20.06.2018 12:00","12091","13435"
"20.06.2018 12:00 - 20.06.2018 13:00","11881","13295"
"20.06.2018 13:00 - 20.06.2018 14:00","11874","13404"
"20.06.2018 14:00 - 20.06.2018 15:00","11871","13579"
"20.06.2018 15:00 - 20.06.2018 16:00","11849","13465"
"20.06.2018 16:00 - 20.06.2018 17:00","11913","13419"
"20.06.2018 17:00 - 20.06.2018 18:00","11808","13222"
"20.06.2018 18:00 - 20.06.2018 19:00","11685","13235"
"20.06.2018 19:00 - 20.06.2018 20:00","11694","13371"
"20.06.2018 20:00 - 20.06.2018 21:00","11635","13268"
"20.06.2018 21:00 - 20.06.2018 22:00","11526","13097"
"20.06.2018 22:00 - 20.06.2018 23:00","11700","12850"
"20.06.2018 23:00 - 21.06.2018 00:00","11821","12349"
"21.06.2018 00:00 - 21.06.2018 01:00","11948","11948"
"21.06.2018 01:00 - 21.06.2018 02:00","11551","11551"
"21.06.2018 02:00 - 21.06.2018 03:00","11308","11309"
"21.06.2018 03:00 - 21.06.2018 04:00","11264","11265"
"21.06.2018 04:00 - 21.06.2018 05:00","11106","11106"
"21.06.2018 05:00 - 21.06.2018 06:00","11392","11392"
"21.06.2018 06:00 - 21.06.2018 07:00","12143","12502"
"21.06.2018 07:00 - 21.06.2018 08:00","12887","13704"
"21.06.2018 08:00 - 21.06.2018 09:00","13104","13927"
"21.06.2018 09:00 - 21.06.2018 10:00","12741","13711"
"21.06.2018 10:00 - 21.06.2018 11:00","12754","13671"
"21.06.2018 11:00 - 21.06.2018 12:00","12789","13651"
"21.06.2018 12:00 - 21.06.2018 13:00","12752","13547"
"21.06.2018 13:00 - 21.06.2018 14:00","12612","13505"
"21.06.2018 14:00 - 21.06.2018 15:00","12513","13497"
"21.06.2018 15:00 - 21.06.2018 16:00","12621","13428"
"21.06.2018 16:00 - 21.06.2018 17:00","12668","13472"
"21.06.2018 17:00 - 21.06.2018 18:00","12581","13311"
"21.06.2018 18:00 - 21.06.2018 19:00","12473","13034"
"21.06.2018 19:00 - 21.06.2018 20:00","12782","12892"
"21.06.2018 20:00 - 21.06.2018 21:00","12590","12895"
"21.06.2018 21:00 - 21.06.2018 22:00","12678","12794"
"21.06.2018 22:00 - 21.06.2018 23:00","12402","12540"
"21.06.2018 23:00 - 22.06.2018 00:00","11979","12239"
"22.06.2018 00:00 - 22.06.2018 01:00","11833","11833"
"22.06.2018 01:00 - 22.06.2018 02:00","11374","11373"
"22.06.2018 02:00 - 22.06.2018 03:00","11123","11123"
"22.06.2018 03:00 - 22.06.2018 04:00","11047","11047"
"22.06.2018 04:00 - 22.06.2018 05:00","10942","10942"
"22.06.2018 05:00 - 22.06.2018 06:00","11132","11132"
"22.06.2018 06:00 - 22.06.2018 07:00","12021","12021"
"22.06.2018 07:00 - 22.06.2018 08:00","13190","13190"
